NCTETID	SCHOOLYEAR_SP	FALLTQ_11	FALLTQ_12	FALLTQ_13	MIR01	MIR02	MIR03	MIR04	MIR05	MIR06	MIR07	MIR08	MIR09	MIR10	MIR11	MIR12	MIS01	MIS02	MIS03	MIS04	MIS05	MIS06	CLC01	CLC02	CLC02_REV	CLC03	CLC04	CLC04_REV	CLC05	CLC06	CLC06_REV	CLC07	CLC08	CLC09	CLC09_REV	FAS01	FAS02	FAS03	FAS04	FAS05	FAS06	FAS07	FAS08	FAS09	INI01	INI02	INI03	TOC01	TOC02	TOC03	TOC04	TOC05	TOC06	TOC07	TOC08	MLR01	MLR02	MLR03	MLR04	TPA01_2011	TPA01_2012	TPA01_2013	TPA02_2011	TPA02_2012	TPA02_2013	TPA03_2011	TPA03_2012	TPA04_2011	TPA04_2012	TPA04_2013	TPA05_2011	TPA05_2012	TPA05_2013	TPA06	TPC01	TPC02	TPC03	TPC04	TPC05	TPC06	TPC07	STY01	STY02	STY02_REV	STY03	STY03_REV	STY04	STY04_REV	ATY01	CMU03	CMU04	CMU05	CMU06	CMU07	CMU08	CMU09	CMU10	CMU11	CMU12	CMU13	CMU14	CMU15	TSE01	TSE02_2011	TSE02_2012	TSE03_2011	TSE03_2012	TSE04	TSE05_2011	TSE05_2012	TSE06	TSE07	TSE08	TSE09	TSE10	TSE11	TSE12	TSE13	TSE14	TEB01	TEB02	TEB03	TEB04	TEB05	TEB06	TEB07	SPR01	SPR01_REV	SPR02	SPR02_REV	SPR03	SPR04	SPR04_REV	SPR05	SPR06	SPR07	SPR07_REV	SPR08	SPR08_REV	SPR09	WFE01	WFE02	WFE03	WFE04	WFE05	WFE05_TEXT	WFE06	OBF01	OBF02	OBM01	OBM02	POF01	POF02	POF03	POF04	POF05	POF06	POF07	POF08	POF09	POF10	POF11	POF12	POF13	POF14	POF15	POF16	SFC01	SFC02	SFC03	SFC04	SFC05	SFC06	TPD01	TPD02	TPD03	TPD04	TPD05	TPD06	TPD07	TPD08	TPD08_TEXT	STL01_F	STL02_F	STL03_F	STL04_F	STL05_F	STL06_F	STL07_F	SCC01_F	SCC02_F	SCC03_F	SCC04_F	SCC05_F	SCC06_F	SCC07_F	SCC08_F	MKT_Q1A_11	MKT_Q1B_11	MKT_Q1C_11	MKT_Q1D_11	MKT_Q2_11	MKT_Q3_11	MKT_Q4_11	MKT_Q5_11	MKT_Q6_11	MKT_Q7_11	MKT_Q8_11	MKT_Q9A_11	MKT_Q9B_11	MKT_Q9C_11	MKT_Q9D_11	MKT_Q9E_11	MKT_Q10A_11	MKT_Q10B_11	MKT_Q10C_11	MKT_Q10D_11	MKT_Q11_11	MKT_Q12_11	MKT_Q13A_11	MKT_Q13B_11	MKT_Q13C_11	MKT_Q13D_11	MKT_Q13E_11	MKT_Q14A_11	MKT_Q14B_11	MKT_Q14C_11	MKT_Q14D_11	MKT_Q15_11	MKT_Q16_11	MKT_Q17_11	MKT_Q18_11	MKT_Q19_11	MKT_Q20_11	MKT_Q21_11	MKT_Q22_11	MKT_Q23_11	MKT_Q1_12	MKT_Q2_12	MKT_Q3A_12	MKT_Q3B_12	MKT_Q3C_12	MKT_Q4_12	MKT_Q5_12	MKT_Q6A_12	MKT_Q6B_12	MKT_Q6C_12	MKT_Q6D_12	MKT_Q7_12	MKT_Q8_12	MKT_Q9_12	MKT_Q10_12	MKT_Q11_12	MKT_Q12_12	MKT_Q13A_12	MKT_Q13B_12	MKT_Q13C_12	MKT_Q13D_12	MKT_Q13E_12	MKT_Q14_12	MKT_Q15A_12	MKT_Q15B_12	MKT_Q15C_12	MKT_Q15D_12	MKT_Q16_12	MKT_Q17_12	MKT_Q18_12	MKT_Q19_12	MKT_Q20_12	MKT_Q21_12	MKT_Q22_12	MKT_Q23_12	MKT_Q24_12	MKT_Q1_13	MKT_Q2_13	MKT_Q3_13	MKT_Q4A_13	MKT_Q4B_13	MKT_Q4C_13	MKT_Q5_13	MKT_Q6_13	MKT_Q7_13	MKT_Q8_13	MKT_Q9_13	MKT_Q10_13	MKT_Q11A_13	MKT_Q11B_13	MKT_Q11C_13	MKT_Q11D_13	MKT_Q12_13	MKT_Q13_13	MKT_Q14A_13	MKT_Q14B_13	MKT_Q14C_13	MKT_Q15_13	MKT_Q16_13	MKT_Q17_13	MKT_Q18_13	MKT_Q19_13	MKT_Q20_13	MKT_Q21_13	MKT_Q22_13	MATH_KNOWLEDGE	MATH_KNOWLEDGE_SE	MATH_KNOWLEDGE_YR	MATH_KNOWLEDGE_SE_YR
12005	2013	1	1	1	 	4	4	 	4	4	 	5	4	4	5	4	 	4	3	4	4	4	4	2	4	 	1	5	3	1	5	4	4	1	5	 	 	4	 	 	 	 	 	 	5	4	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	 	 	4	 	 	 	 	4	 	 	4	4	2	4	1	2	2	 	4	2	3	3	4	2	3	3	 	 	2	 	2	 	2	 	2	 	2	1	5	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	3	1	5	5	4	2	4	3	3	3	3	3	5	0	0	0	0	0	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	3	3	5	5	3	5	5	5	4	5	5	3	3	Science	4	3	2	2	2	3	3	4	3	3	4	3	4	4	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	4	3	2	2	2	1	4	2	4	1	3	1	2	1	2	4	4	1	2	1	3	2	1	1	3	4	1	1	.652999997139	.2630000114441	1.039999961853	.4560000002384
12006	2011	1	1	1	4	4	4	3	4	5	4	3	3	 	 	 	1	5	2	2	4	 	3	3	3	3	2	4	3	2	4	3	3	3	3	2	3	3	4	4	2	 	 	 	 	 	 	3	4	4	1	2	3	2	2	2	2	2	2	1	 	 	2	 	 	2	 	2	 	 	2	 	 	 	1	2	3	4	2	3	3	5	4	2	1	5	1	5	1	 	 	 	 	 	 	 	 	 	 	 	 	 	4	4	 	5	 	5	5	 	 	 	 	 	 	 	 	 	 	3	4	1	 	 	 	 	1	5	1	5	5	1	5	5	5	3	3	1	5	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	1	2	1	4	3	3	1	1	2	3	1	1	2	1	2	2	2	5	1	2	2	1	2	2	 	 	 	 	4	2	2	3	1	3	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.107000000775	.2619999945164	.208000004292	.3810000121593
12006	2012	1	1	1	 	5	5	3	5	5	 	5	4	5	5	5	 	5	4	3	5	5	4	2	4	 	2	4	4	2	4	4	3	2	4	3	3	5	 	4	1	4	3	5	 	 	 	3	3	3	1	 	2	 	 	2	 	2	2	 	1	 	 	2	 	 	2	 	2	 	 	2	 	 	1	2	2	3	1	3	4	2	4	2	5	1	4	2	2	 	 	 	 	 	 	1	 	 	2	 	 	 	 	 	6	 	7	 	 	6	7	7	7	7	7	7	7	6	5	 	 	 	2	2	2	2	1	5	1	5	5	3	3	5	5	4	2	1	5	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	4	4	4	 	3	3	4	2	4	2	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	3	1	1	2	3	2	1	1	1	2	4	2	5	4	1	3	1	2	1	2	1	3	1	2	1	1	4	2	3	2	5	4	4	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.107000000775	.2619999945164	-.123999997973	.4589999914169
12006	2013	1	1	1	 	5	5	 	5	5	 	3	5	5	3	3	 	5	4	4	5	5	4	2	4	 	2	4	4	2	4	4	4	2	4	 	 	5	 	 	 	 	 	 	4	4	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	 	 	4	 	 	 	 	3	 	 	4	3	1	4	1	3	2	 	5	5	1	5	1	5	1	5	 	 	 	 	 	 	 	 	2	 	2	 	4	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	2	1	5	5	3	3	4	3	1	5	1	5	5	0	0	0	0	0	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	3	3	3	2	1	1	4	1	3	1	3	3	Math class Algebra and problem solving	4	4	3	3	2	3	3	4	3	2	4	1	4	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	2	2	1	3	2	4	4	2	4	1	1	2	2	1	2	2	4	1	1	1	4	2	1	3	1	4	1	2	.107000000775	.2619999945164	.094999998808	.4359999895096
12007	2011	1	1	1	3	3	3	3	4	5	4	5	4	 	 	 	3	5	2	3	4	 	4	2	4	4	2	4	4	2	4	4	4	1	5	3	5	5	4	4	2	 	 	 	 	 	 	3	4	3	2	2	1	2	4	1	2	2	2	2	 	 	1	 	 	2	 	1	 	 	2	 	 	 	1	2	1	3	2	1	2	4	2	4	2	4	3	3	1	 	 	 	 	 	 	 	 	 	 	 	 	 	3	4	 	5	 	4	5	 	 	 	 	 	 	 	 	 	 	4	4	3	 	 	 	 	3	3	3	3	5	2	4	5	4	3	3	2	4	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	1	1	3	1	2	3	5	2	1	2	3	1	2	2	1	1	1	2	2	3	1	2	1	1	2	1	1	1	2	5	2	1	3	1	1	3	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.879999995232	.272000014782	.272000014782	.3840000033379
12007	2012	1	1	1	 	4	3	2	3	5	 	5	4	5	4	5	 	5	3	5	4	5	3	2	4	 	2	4	4	2	4	4	3	1	5	3	3	5	 	5	5	5	4	3	 	 	 	3	3	3	2	 	1	 	 	1	 	2	2	 	 	 	 	2	 	 	2	 	2	 	 	2	 	 	2	3	1	3	2	3	3	5	1	5	4	2	4	2	1	 	 	 	 	1	 	 	2	 	 	 	 	 	 	 	4	 	7	 	 	5	5	5	6	4	6	5	5	7	4	 	 	 	3	3	4	4	2	4	2	4	5	2	4	4	3	3	3	1	5	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	4	3	3	 	3	3	3	3	5	5	3	5	Motivational Courses.	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	1	1	1	1	3	2	1	1	2	2	1	4	4	3	2	4	1	1	1	2	1	2	1	2	2	1	2	2	1	2	5	4	4	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.879999995232	.272000014782	1.600000023842	.477999985218
12007	2013	1	1	1	 	5	3	 	5	5	 	5	3	4	4	3	 	4	2	3	3	4	4	3	3	 	2	4	3	3	3	3	 	1	5	 	 	1	 	 	 	 	 	 	5	4	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	 	 	2	 	 	 	 	4	 	 	4	3	2	3	2	2	2	 	3	5	2	4	2	4	2	4	 	 	 	 	 	 	2	1	 	1	 	3	5	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	3	3	3	4	2	4	4	4	3	3	2	4	4	1	1	1	0	1	Central Adm. Staff	0	3	3	3	4	1	4	3	3	1	1	2	1	1	3	4	3	4	4	3	1	1	1	4	4	3	4	3	3	4	4	5	4	3	5	Motivation, RTI	3	3	4	3	3	3	3	4	4	3	4	3	4	4	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	4	3	1	2	2	1	4	3	2	1	2	1	2	1	1	2	4	2	1	2	3	1	2	3	3	4	4	1	.879999995232	.272000014782	.550000011921	.4490000009537
12008	2011	1	1	1	4	4	2	2	3	4	4	4	2	 	 	 	3	3	3	3	3	 	2	3	3	2	3	3	3	4	2	3	1	2	4	3	3	4	3	4	1	 	 	 	 	 	 	3	3	2	2	2	1	2	1	2	2	2	2	2	 	 	2	 	 	2	 	2	 	 	2	 	 	 	5	5	5	5	5	5	5	5	1	5	1	5	1	5	2	 	 	 	 	 	 	 	 	 	 	 	 	 	3	4	 	4	 	4	4	 	 	 	 	 	 	 	 	 	 	5	5	4	 	 	 	 	4	2	2	4	3	5	1	4	4	3	3	2	4	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	1	1	2	1	1	3	5	3	1	1	3	1	1	2	1	1	2	2	1	1	2	2	1	1	2	1	1	1	2	5	2	2	3	4	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.819999992847	.2700000107288	1.075999975204	.4000000059605
12008	2012	1	1	1	 	2	1	2	2	4	 	4	4	2	4	4	 	4	2	4	3	4	2	4	2	 	4	2	2	5	1	2	2	2	4	3	3	3	 	3	1	3	3	1	 	 	 	3	3	2	2	 	1	 	 	2	 	2	2	 	2	 	 	2	 	 	2	 	4	 	 	4	 	 	5	5	5	5	5	5	5	5	1	5	1	5	1	5	1	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	7	 	5	 	 	5	4	4	4	4	4	4	4	4	1	 	 	 	4	4	4	4	4	2	3	3	3	5	1	3	3	4	2	4	2	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	2	3	1	 	3	3	3	3	3	1	5	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	1	1	2	1	3	2	1	2	1	2	5	4	4	3	3	4	1	1	1	3	1	2	1	1	1	1	1	4	1	3	5	4	3	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.819999992847	.2700000107288	.143999993801	.4429999887943
12008	2013	1	1	1	 	4	2	 	3	3	 	3	3	4	4	3	 	3	3	3	2	3	2	5	1	 	2	4	2	5	1	2	2	2	4	 	 	1	 	 	 	 	 	 	2	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	 	 	4	 	 	 	 	5	 	 	3	4	4	4	4	4	5	 	5	3	3	3	1	5	1	5	 	 	 	 	 	 	 	 	 	 	 	3	3	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	2	2	4	4	5	1	2	3	3	3	3	3	3	0	0	0	0	0	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	2	3	2	1	3	3	3	3	4	2	5	5	Paperwork - that no one ever sees!	3	3	2	2	2	2	2	4	4	2	4	1	4	3	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	4	2	1	3	2	1	4	3	5	1	1	1	2	1	1	2	4	1	1	2	3	2	1	3	2	4	1	1	.819999992847	.2700000107288	.811999976635	.4690000116825
12009	2011	1	1	1	3	2	3	3	2	3	3	5	5	 	 	 	3	4	3	3	3	 	2	4	2	3	2	4	2	3	3	2	2	2	4	3	4	3	4	4	2	 	 	 	 	 	 	4	4	4	4	2	4	2	2	2	2	2	2	2	 	 	2	 	 	2	 	2	 	 	2	 	 	 	3	3	3	3	2	3	4	2	4	2	2	4	3	3	1	 	 	 	 	 	 	 	 	 	 	 	 	 	4	3	 	5	 	4	4	 	 	 	 	 	 	 	 	 	 	3	3	2	 	 	 	 	3	3	3	3	4	4	2	3	4	3	3	5	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	1	1	2	1	2	3	5	2	1	2	2	4	1	2	2	1	2	1	2	 	2	2	1	1	2	3	3	3	2	2	2	2	3	4	 	1	4	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.237000003457	.266999989748	1.330000042915	.4210000038147
12009	2012	1	1	1	 	2	2	2	2	3	 	4	4	3	3	4	 	4	2	3	3	3	3	2	4	 	2	4	3	2	4	3	2	2	4	3	4	4	 	5	1	5	2	3	 	 	 	5	4	3	4	 	3	 	 	2	 	2	2	 	2	 	 	2	 	 	2	 	2	 	 	2	 	 	4	4	5	5	4	4	4	3	4	2	3	3	3	3	1	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	5	 	6	 	 	5	6	6	5	6	6	5	5	5	4	 	 	 	2	2	2	2	2	4	1	5	4	4	2	4	3	3	3	5	1	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	2	3	3	 	3	3	3	2	4	2	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	1	3	1	1	3	2	1	1	3	2	1	4	 	 	 	 	1	1	3	3	3	2	3	1	1	1	 	 	1	 	 	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.237000003457	.266999989748	-.510999977589	.4690000116825
12009	2013	1	1	1	 	4	3	 	3	4	 	5	5	5	3	4	 	4	3	3	4	3	4	2	4	 	2	4	4	2	4	5	4	1	5	 	 	4	 	 	 	 	 	 	4	4	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	 	 	5	 	 	 	 	2	 	 	4	4	3	3	3	3	3	 	5	4	1	5	2	4	1	5	 	 	 	 	 	 	2	 	2	 	 	1	4	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	3	1	5	4	4	2	4	5	4	2	4	2	5	0	1	0	0	0	 	0	3	3	4	5	2	4	4	4	4	1	4	4	4	4	4	5	4	4	5	3	1	1	3	3	3	1	3	4	4	4	3	3	2	3	Science	4	4	4	3	3	4	4	4	3	2	4	2	4	3	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	2	2	1	3	2	 	4	3	4	1	 	3	3	3	3	2	4	1	1	1	4	2	 	1	 	4	1	1	.237000003457	.266999989748	-.508000016212	.4429999887943
12010	2011	1	1	0	5	5	5	3	5	4	5	5	5	 	 	 	4	2	1	3	2	 	3	1	5	5	1	5	4	2	4	5	2	1	5	2	2	5	5	4	2	 	 	 	 	 	 	4	4	4	3	2	1	4	2	2	2	2	2	1	 	 	2	 	 	2	 	4	 	 	2	 	 	 	3	5	5	4	4	4	4	5	2	4	4	2	2	4	1	 	 	 	 	 	 	 	 	 	 	 	 	 	4	3	 	5	 	5	5	 	 	 	 	 	 	 	 	 	 	3	3	2	 	 	 	 	3	3	4	2	5	5	1	1	3	4	2	1	5	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	1	1	1	1	1	2	2	4	1	2	1	4	4	3	1	1	2	2	5	1	2	2	2	2	2	1	2	1	2	4	2	2	2	3	4	2	2	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-.806999981403	.3310000002384	-.712999999523	.3950000107288
12010	2012	1	1	0	 	5	5	2	4	2	 	5	5	5	5	5	 	4	2	3	2	4	3	3	3	 	1	5	4	2	4	5	2	1	5	2	2	5	 	5	1	4	2	2	 	 	 	4	5	4	3	 	2	 	 	2	 	2	2	 	2	 	 	2	 	 	2	 	2	 	 	2	 	 	3	3	1	1	 	2	3	5	1	5	5	1	1	5	1	 	 	 	 	 	2	1	 	 	 	 	 	 	 	 	4	 	6	 	 	7	7	6	6	6	7	7	7	7	6	 	 	 	4	4	4	4	5	1	1	5	3	4	2	1	2	3	3	1	5	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	1	1	 	5	5	5	1	3	3	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	4	2	1	3	3	2	2	2	2	2	5	4	6	3	1	3	1	2	2	2	3	1	1	3	2	3	4	 	1	2	5	4	3	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-.806999981403	.3310000002384	-.740999996662	.4850000143051
12011	2011	1	1	1	4	3	4	4	4	5	3	4	5	 	 	 	5	5	4	4	4	 	3	4	2	4	2	4	4	4	2	3	2	3	3	2	3	5	3	5	3	 	 	 	 	 	 	3	3	4	3	2	3	2	2	2	2	2	2	3	 	 	3	 	 	3	 	4	 	 	2	 	 	 	3	3	2	2	2	2	4	4	2	4	1	5	1	5	2	 	 	 	 	 	 	 	 	 	 	 	 	 	4	3	 	4	 	5	4	 	 	 	 	 	 	 	 	 	 	3	2	1	 	 	 	 	3	3	2	4	4	5	1	4	3	2	4	5	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	1	3	3	1	2	4	5	2	1	3	1	4	1	1	1	1	2	2	5	2	1	2	1	2	2	 	 	 	 	4	4	2	3	1	1	3	2	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-.308999985456	.2619999945164	-.391000002623	.3829999864101
12011	2012	1	1	1	 	5	5	3	5	5	 	5	5	5	5	5	 	4	5	4	4	5	3	4	2	 	2	4	3	5	1	4	2	2	4	5	4	5	 	5	4	5	4	5	 	 	 	3	3	3	3	 	3	 	 	1	 	1	1	 	4	 	 	4	 	 	4	 	4	 	 	4	 	 	5	5	5	5	5	5	5	3	3	3	3	3	3	3	2	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	6	 	7	 	 	7	6	6	7	6	6	6	5	6	5	 	 	 	3	2	2	4	3	3	4	2	4	5	1	2	3	3	3	5	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	3	3	3	3	 	4	4	4	4	4	4	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	1	1	2	1	3	2	1	1	2	2	5	1	5	3	4	2	1	2	1	2	1	1	3	1	1	2	1	3	4	1	4	4	1	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-.308999985456	.2619999945164	-.633000016212	.4699999988079
12011	2013	1	1	1	 	5	5	 	4	4	 	4	4	 	5	5	 	4	4	4	4	5	2	5	1	 	3	3	4	4	2	3	2	3	3	 	 	5	 	 	 	 	 	 	5	5	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	 	 	5	 	 	 	 	5	 	 	5	5	2	4	2	3	2	 	5	5	1	5	1	5	1	5	 	 	 	 	 	1	 	1	 	 	 	5	5	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	5	1	5	4	4	2	4	4	3	3	3	3	4	1	1	0	0	0	 	0	5	1	5	1	4	1	4	4	4	4	4	4	4	4	4	3	3	4	3	3	3	2	2	5	5	3	3	3	4	4	4	4	3	5	Science	4	4	3	4	3	3	4	4	4	4	4	4	4	4	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	4	3	1	2	3	4	4	3	4	1	2	1	2	1	2	2	4	 	 	 	3	2	1	3	2	4	3	1	-.308999985456	.2619999945164	.133000001311	.4300000071526
